[  0] 0x7FF7E75AA667 Fallout4.exe+145A667	movzx edx, byte ptr [r8+0x1A] |  GameScript::BasicEventHandler::ProcessEvent(TESCombatEvent&,BSTEventSource<TESCombatEvent>*)_145A667 -> 1025656+0x57	movzx edx, byte ptr [r8+0x1A]
[ 57] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 58] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 59] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 60] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 61] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[ 62] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 63] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 64] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 65] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 66] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[ 67] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 68] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 69] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 70] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 71] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[ 72] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 73] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 74] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 75] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 76] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[ 77] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 78] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 79] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 80] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 81] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[ 82] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 83] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 84] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 85] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 86] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[ 87] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 88] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 89] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 90] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 91] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[ 92] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 93] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 94] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[ 95] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[ 96] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[ 97] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[ 98] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[ 99] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[100] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[101] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[102] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[103] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[104] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[105] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[106] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[107] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[108] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
[109] 0x7FF7E6EE6379 Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379 -> 1367388+0x39	mov rbx, [rsp+0x58]
[110] 0x7FF7E6EBF5AF Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF -> 1249584+0x16F	mov rcx, [0x00007FF7EBA1EE98]
[111] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[112] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[113] 0x7FF7E6173948 Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948 -> 1577322+0xD8	jmp 0x00007FF7E6173971
